source	target
109	455
332	114
436	210
302	301
398	488
308	369
161	201
86	442
471	327
164	312
101	301
455	223
245	455
348	79
414	310
251	6
117	99
240	321
376	494
248	310
244	366
482	455
381	208
317	286
198	114
83	127
249	99
379	153
259	293
426	114
258	36
109	79
301	99
372	455
77	293
347	201
98	327
265	475
6	327
257	449
60	488
349	99
149	449
304	19
478	114
219	481
264	127
201	455
368	327
259	416
185	366
110	301
327	310
446	327
264	366
292	201
68	301
471	188
402	470
171	51
373	36
379	293
188	327
331	430
203	114
114	232
402	127
220	185
127	485
371	198
257	455
348	407
11	108
301	455
415	449
218	127
172	234
327	301
498	238
185	421
187	301
429	201
491	455
43	9
316	223
416	114
76	293
36	301
193	114
402	6
436	449
129	488
75	232
432	449
259	232
348	127
36	409
368	431
458	93
379	442
368	223
38	435
429	51
395	209
122	201
66	114
39	327
26	363
86	286
66	449
212	488
351	6
242	209
488	75
90	127
319	99
138	348
414	127
209	99
400	366
195	488
467	470
153	450
33	449
426	127
398	449
174	293
350	127
241	301
215	442
195	473
345	301
409	301
145	301
366	460
207	449
249	442
183	312
151	208
81	449
313	153
410	234
483	366
85	301
13	442
30	488
198	310
356	400
356	99
238	146
43	170
176	208
29	99
432	455
26	99
396	108
209	366
364	488
121	79
385	6
60	455
227	488
442	79
310	135
386	198
445	51
471	301
86	99
41	208
258	330
248	36
383	357
147	327
250	442
212	286
37	310
380	384
42	45
68	455
310	449
437	455
400	455
152	301
341	488
123	434
41	455
316	97
173	449
131	94
305	327
415	36
202	310
151	153
57	286
416	406
154	449
62	455
477	114
24	36
131	210
17	442
303	201
349	449
16	99
267	79
457	185
323	51
320	301
237	25
393	51
140	293
147	379
441	199
212	327
38	470
426	238
395	114
110	234
145	208
51	99
386	223
57	221
222	51
479	188
114	223
50	455
323	99
304	442
47	99
298	114
468	36
313	127
66	327
462	449
456	449
42	108
215	301
267	301
2	488
135	293
314	234
430	153
364	79
468	51
449	153
224	114
250	178
320	131
174	470
36	68
400	286
423	97
152	36
161	234
261	455
430	108
286	488
499	97
290	353
218	449
6	99
338	449
439	464
366	327
340	127
2	366
166	39
467	327
182	99
332	127
265	223
14	39
322	366
85	34
317	114
252	238
134	51
14	99
452	51
198	293
371	127
130	238
248	488
442	223
97	153
109	286
364	366
95	99
334	51
389	97
385	327
289	188
203	260
193	344
123	228
267	127
339	455
2	310
97	455
77	449
376	301
135	379
76	127
338	209
378	97
301	210
48	127
157	114
486	114
39	201
35	348
141	153
33	153
447	293
385	208
96	337
211	42
286	226
452	442
122	455
289	223
441	99
366	449
315	293
203	160
289	453
104	99
134	201
274	135
268	51
0	188
151	301
98	201
182	449
206	114
358	36
229	285
469	127
155	449
483	310
295	118
327	127
208	127
366	312
233	3
211	153
305	449
71	201
355	36
26	234
238	492
71	210
201	97
379	301
341	301
176	449
124	210
41	301
336	99
365	127
219	226
443	301
64	310
67	135
458	46
380	51
129	442
233	488
187	201
375	209
50	327
108	210
0	127
300	327
455	99
351	406
153	161
51	153
403	39
164	234
241	201
191	51
389	89
36	6
426	366
452	201
10	442
300	108
428	293
108	201
64	409
319	114
164	79
7	231
166	209
311	455
275	39
249	366
79	188
373	301
201	36
444	449
493	455
154	114
442	201
48	310
370	142
314	127
107	488
373	181
84	312
455	51
444	51
176	324
373	442
124	449
177	449
71	327
257	377
145	108
312	201
177	210
235	99
325	452
33	51
281	158
271	366
266	52
30	51
209	114
343	42
